pdb,poserank,RMSD
2vmf,4,4.63
2vmf,5,3.6
2vmf,6,4.5
2vmf,7,4.23
2vmf,8,3.81
2vmf,9,5.8
2vmf,10,2.73
4q4o,1,2.42
4q4o,2,1.12
4q4o,3,2.65
4q4o,4,2.39
4q4o,5,4.12
4q4o,6,4.99
4q4o,7,4.44
4q4o,8,4.89
4q4o,9,3.08
4q4o,10,4.34
6fni,1,0.39
6fni,2,2.13
6fni,3,3.62
6fni,4,3.89
5eq1,1,2.61
5eq1,2,4.59
5eq1,3,3.91
5eq1,4,3.82
5eq1,5,0.99
5eq1,6,4.12
5eq1,7,2.66
5eq1,8,3.92
5eq1,9,4.62
5eq1,10,2.31
6q3y,1,9.03
6q3y,2,4.4
6q3y,3,7.17
6q3y,4,5.63
6q3y,5,10.51
6q3y,6,9.02
6q3y,7,7.18
6q3y,8,3.01
6q3y,9,9.15
6q3y,10,9.97
6g3q,1,5.08
6g3q,2,3.63
6g3q,3,3.67
6g3q,4,4.17
6g3q,5,3.38
6g3q,6,4.8
6g3q,7,3.06
6g3q,8,1.08
6g3q,9,3.72
6g3q,10,6.31
6g36,1,0.59
6g36,2,0.99
6g36,3,3.2
6g36,4,2.61
6g36,5,5.6
6g36,6,3.8
6g36,7,1.62
6g36,8,3.04
6g36,9,3.12
6g36,10,2.92
6fv4,1,0.95
6fv4,2,1.57
6fv4,3,2.21
6fv4,4,6.69
6fv4,5,2.74
6fv4,6,2.45
6fv4,7,7.04
6fv4,8,6.55
6fv4,9,3.05
6fv4,10,3.5
1g54,1,8.89
1g54,2,8.61
1g54,3,8.62
1g54,4,8.97
1g54,5,8.88
1g54,6,8.98
1g54,7,5.23
1g54,8,1.76
1g54,9,4.83
1g54,10,5.44
4agl,1,9.1
4agl,2,4.33
4agl,3,1.59
4agl,4,3.06
4agl,5,5.42
4agl,6,5.47
4agl,7,4.57
4agl,8,3.44
4agl,9,2.93
4agl,10,8.95
1tnh,1,0.43
1tnh,2,0.4
1tnh,3,3.95
1tnh,4,3.95
1tnh,5,3.18
1tnh,6,1.36
1tnh,7,1.94
1tnh,8,3.17
1tnh,9,3.29
2haw,1,2.86
2haw,2,2.9
2haw,3,2.94
2haw,4,2.85
2haw,5,2.9
2haw,6,2.93
2haw,7,3.09
2haw,8,2.85
2haw,9,3.98
2haw,10,3.99
5cbr,1,0.3
5cbr,2,6.3
5cbr,3,6.08
5cbr,4,6.01
5cbr,5,7.36
5cbr,6,4.87
5cbr,7,5.5
5cbr,8,6.45
5cbr,9,7.1
5cbr,10,7.02
4rrf,1,0.61
4rrf,2,2.19
4rrf,3,1.19
4rrf,4,1.93
4rrf,5,3.21
4rrf,6,2.65
4rrf,7,3.67
4rrf,8,6.41
4rrf,9,3.59
4rrf,10,4.74
3t2w,1,6.67
3t2w,2,0.59
3t2w,3,6.2
3t2w,4,1.34
3t2w,5,5.98
3t2w,6,6.26
3t2w,7,2.85
3t2w,8,1.63
3t2w,9,6.8
3t2w,10,3.26
4ibj,1,1.81
4ibj,2,2.78
4ibj,3,0.6
4ibj,4,7.44
4ibj,5,2.18
4ibj,6,5.88
4ibj,7,2.77
4ibj,8,8.13
4ibj,9,2.94
4ibj,10,7.14
1loq,1,0.52
1loq,2,6.48
1loq,3,2.06
1loq,4,5.95
1loq,5,3.16
1loq,6,5.34
1loq,7,2.64
1loq,8,6.4
1loq,9,3.66
1loq,10,4.91
3zc5,1,0.21
3zc5,2,1.03
3zc5,3,1.86
3zc5,4,6.14
3zc5,5,6.41
3zc5,6,6.16
5eyr,1,0.66
5eyr,2,1.18
5eyr,3,0.78
5eyr,4,10.4
5eyr,5,10.35
5eyr,6,10.43
5eyr,7,10.29
5eyr,8,10.71
5eyr,9,3.04
5eyr,10,5.5
5ime,1,0.55
5ime,2,2.96
5ime,3,4.95
5ime,4,5.35
5ime,5,11.0
5ime,6,6.02
5ime,7,7.2
5ime,8,5.9
5ime,9,7.29
5ime,10,7.89
6gfs,1,4.47
6gfs,2,4.35
6gfs,3,3.78
6gfs,4,3.74
6gfs,5,2.2
6gfs,6,2.99
6gfs,7,3.45
6gfs,8,10.36
6gfs,9,10.56
6gfs,10,1.68
4knj,1,4.77
4knj,2,4.58
4knj,3,3.86
4knj,4,0.42
4knj,5,3.08
4knj,6,3.8
4knj,7,4.18
4knj,8,1.89
4knj,9,4.01
4knj,10,4.15
5g5z,1,0.83
5g5z,2,4.24
5g5z,3,7.31
5g5z,4,3.42
5g5z,5,7.25
5g5z,6,3.67
5g5z,7,7.32
5g5z,8,3.82
5g5z,9,4.63
5g5z,10,4.42
4x5p,1,1.02
4x5p,2,0.86
4x5p,3,1.2
4x5p,4,1.46
4x5p,5,1.5
4x5p,6,1.86
4x5p,7,2.59
4x5p,8,2.68
4x5p,9,3.9
5ohy,1,2.38
5ohy,2,1.44
5ohy,3,2.44
5ohy,4,5.14
5ohy,5,2.63
5ohy,6,4.09
5ohy,7,4.6
5ohy,8,3.11
5ohy,9,3.38
5ohy,10,4.51
3s75,1,0.36
3s75,2,2.3
3s75,3,1.6
3s75,4,2.73
3s75,5,1.59
3s75,6,3.69
3s75,7,3.39
3s75,8,5.43
3s75,9,3.84
3s75,10,4.53
3k99,1,0.46
3k99,2,3.13
3k99,3,2.91
3k99,4,6.53
3k99,5,7.98
3k99,6,7.32
3k99,7,6.88
3k99,8,4.52
3k99,9,7.65
3k99,10,6.51
2pk5,1,0.29
2pk5,2,1.65
2pk5,3,1.69
2pk5,4,3.59
2pk5,5,12.11
2pk5,6,12.16
2pk5,7,12.59
2pk5,8,5.14
2pk5,9,5.93
2pk5,10,10.92
2xyt,1,0.63
2xyt,2,2.69
2xyt,3,2.8
2xyt,4,9.57
2xyt,5,10.55
2xyt,6,9.28
2xyt,7,6.12
2xyt,8,9.18
2xyt,9,7.9
2xyt,10,11.39
3vx3,1,0.59
3vx3,2,4.02
3vx3,3,1.98
3vx3,4,4.23
3vx3,5,4.34
3vx3,6,4.62
3vx3,7,3.89
3vx3,8,3.45
3vx3,9,1.77
3vx3,10,4.52
5bw4,1,0.66
5bw4,2,2.08
5bw4,3,9.24
5bw4,4,8.09
5bw4,5,2.6
5bw4,6,9.32
5bw4,7,9.96
5bw4,8,9.35
5bw4,9,4.09
5bw4,10,5.43
3f80,1,1.77
3f80,2,1.19
3f80,3,5.19
3f80,4,1.25
3f80,5,5.17
3f80,6,2.85
3f80,7,2.13
3f80,8,2.43
3f80,9,3.69
3f80,10,4.99
6dar,1,1.39
6dar,2,2.26
6dar,3,3.02
6dar,4,8.5
6dar,5,8.02
6dar,6,4.32
6dar,7,8.5
6dar,8,8.14
6dar,9,7.83
6dar,10,8.78
4q6e,1,3.25
4q6e,2,4.28
4q6e,3,4.17
4q6e,4,4.74
4q6e,5,3.08
4q6e,6,0.65
4q6e,7,4.13
4q6e,8,4.81
4q6e,9,3.41
4q6e,10,4.21
3mhl,1,4.96
3mhl,2,4.02
3mhl,3,4.01
3mhl,4,4.06
3mhl,5,3.2
3mhl,6,4.41
3mhl,7,4.67
3mhl,8,2.83
3mhl,9,2.26
3mhl,10,8.21
4q90,1,6.13
4q90,2,1.18
4q90,3,3.1
4q90,4,4.65
4q90,5,2.57
4q90,6,3.06
4q90,7,5.29
4q90,8,3.25
4q90,9,4.81
4q90,10,2.45
1oe8,1,10.33
1oe8,2,8.29
1oe8,3,8.16
1oe8,4,10.82
1oe8,5,2.99
1oe8,6,8.09
1oe8,7,7.12
1oe8,8,8.15
1oe8,9,8.48
1oe8,10,8.02
1ppm,1,4.77
1ppm,2,3.26
1ppm,3,7.7
1ppm,4,2.23
1ppm,5,4.89
1ppm,6,6.23
1ppm,7,11.11
1ppm,8,10.25
1ppm,9,6.3
1ppm,10,9.97
1v48,1,0.89
1v48,2,1.81
1v48,3,3.3
1v48,4,2.46
1v48,5,4.62
1v48,6,3.5
1v48,7,7.44
1v48,8,6.98
1v48,9,4.08
1v48,10,7.11
5mwh,1,3.57
5mwh,2,0.57
5mwh,3,6.81
5mwh,4,2.53
5mwh,5,9.59
5mwh,6,1.58
5mwh,7,7.87
5mwh,8,6.65
5mwh,9,8.44
5mwh,10,7.51
5tya,1,0.33
5tya,2,1.28
5tya,3,3.21
5tya,4,4.57
5tya,5,4.57
5tya,6,4.25
5tya,7,4.09
5tya,8,2.9
5tya,9,4.7
5tya,10,4.56
4rqk,1,1.64
4rqk,2,1.93
4rqk,3,2.51
4rqk,4,6.31
4rqk,5,6.28
4rqk,6,2.68
4rqk,7,2.61
4rqk,8,6.99
4rqk,9,2.39
4rqk,10,6.02
1fcy,1,0.31
1fcy,2,2.28
1fcy,3,2.84
5a7b,1,3.85
5a7b,2,1.51
5a7b,3,10.67
5a7b,4,3.22
5a7b,5,2.52
5a7b,6,3.22
5a7b,7,6.81
5a7b,8,7.09
5a7b,9,7.82
5a7b,10,6.79
3bfu,1,0.5
3bfu,2,0.82
3bfu,3,5.03
3bfu,4,2.42
3bfu,5,5.0
3bfu,6,5.5
3bfu,7,1.86
3bfu,8,5.1
3bfu,9,5.09
3bfu,10,2.93
1uwu,1,0.38
1uwu,2,4.7
1uwu,3,4.45
1uwu,4,4.51
1uwu,5,7.46
1uwu,6,7.34
1uwu,7,7.58
1uwu,8,5.99
1uwu,9,8.06
1uwu,10,7.75
4wk1,1,0.59
4wk1,2,0.49
4wk1,3,1.67
4wk1,4,1.7
4wk1,5,1.59
4wk1,6,2.0
5nap,1,0.44
5nap,9,3.91
2ylc,1,4.27
2ylc,2,4.39
2ylc,3,6.8
2ylc,4,5.71
2ylc,5,0.94
2ylc,6,9.07
2ylc,7,6.43
2ylc,8,6.14
2ylc,9,3.13
2ylc,10,4.01
1d4k,1,0.59
1d4k,2,4.12
1d4k,3,4.38
1d4k,4,11.32
1d4k,5,11.45
1d4k,6,3.06
1d4k,7,11.88
1d4k,8,3.88
1d4k,9,11.71
1d4k,10,5.51
4o0y,1,1.55
4o0y,2,8.2
4o0y,3,5.65
4o0y,4,8.88
4o0y,5,8.53
4o0y,6,8.49
4o0y,7,7.05
4o0y,8,7.78
4o0y,9,6.31
4o0y,10,7.89
6faa,1,3.41
6faa,2,3.66
6faa,3,1.88
6faa,4,2.96
6faa,5,2.92
6faa,6,4.04
6faa,7,2.08
6faa,8,3.3
6faa,9,1.2
6faa,10,2.53
3bva,1,1.65
3bva,2,12.94
3bva,3,1.65
3bva,4,12.2
3bva,5,5.74
3bva,6,5.94
3bva,7,5.85
3bva,8,12.89
3bva,9,13.02
3bva,10,2.47
5cp9,1,0.99
5cp9,2,0.96
5cp9,3,5.48
5cp9,4,6.23
5cp9,5,4.21
5cp9,6,4.73
5cp9,7,2.5
5cp9,8,4.75
5cp9,9,1.7
5cp9,10,4.57
1ua4,1,3.52
1ua4,2,3.31
1ua4,3,8.84
1ua4,4,1.19
1ua4,5,5.24
1ua4,6,2.46
1ua4,7,3.36
1ua4,8,1.56
1ua4,9,2.87
1ua4,10,8.34
2pvj,1,0.58
2pvj,2,6.94
2pvj,3,5.91
2pvj,4,5.94
2pvj,5,7.19
2pvj,6,5.83
2pvj,7,5.65
2pvj,8,6.5
2pvj,9,5.8
2pvj,10,7.54
4j3l,1,1.33
4j3l,2,2.27
4j3l,3,2.58
4j3l,4,2.73
4j3l,5,2.99
4j3l,6,9.56
4j3l,7,9.38
4j3l,8,1.7
1v0l,1,0.26
1v0l,2,5.55
1v0l,3,6.12
1v0l,4,2.92
1v0l,5,5.54
1v0l,6,5.51
1v0l,7,6.0
1v0l,8,7.06
1v0l,9,6.27
1v0l,10,6.15
5orh,1,5.72
5orh,2,0.54
5orh,3,5.89
5orh,4,5.67
5orh,5,1.86
5orh,6,3.92
5orh,7,3.2
5orh,8,5.81
5orh,9,3.45
5orh,10,6.05
5lle,1,0.5
5lle,2,0.54
5lle,3,0.59
5lle,4,0.52
5lle,5,3.75
5lle,6,2.7
5lle,7,3.55
5lle,8,3.55
5lle,9,2.35
5lle,10,3.46
4dzy,1,0.67
4dzy,2,0.67
4dzy,3,1.12
4dzy,4,1.43
4dzy,5,5.03
4dzy,6,5.04
4dzy,7,2.51
4dzy,8,4.61
2a14,1,0.3
2a14,2,1.81
2a14,3,3.36
2a14,4,1.17
2a14,5,2.58
2a14,6,3.57
2a14,7,2.96
2a14,8,4.22
2a14,9,2.04
2a14,10,9.88
3rf4,1,1.07
3rf4,2,1.26
3rf4,3,1.46
3rf4,4,3.57
3rf4,5,5.82
3rf4,6,5.62
3rf4,7,5.65
3rf4,8,6.41
3kdd,1,1.42
3kdd,2,1.47
3kdd,3,10.66
3kdd,4,11.04
3kdd,5,9.78
3kdd,6,10.27
3kdd,7,9.8
3kdd,8,11.06
3kdd,9,11.24
3kdd,10,11.46
4b5t,1,2.97
4b5t,2,2.94
4b5t,3,3.48
4b5t,4,2.91
4b5t,5,3.17
4b5t,6,1.17
4b5t,7,2.66
4b5t,8,1.5
4b5t,9,3.22
4b5t,10,3.14
1egh,1,0.7
1egh,2,2.93
1egh,3,2.94
1egh,4,3.92
1egh,5,3.93
1egh,6,3.87
1egh,7,3.75
1egh,8,3.94
1egh,9,5.23
1egh,10,5.26
1lhu,1,0.42
1lhu,2,6.7
1lhu,3,6.69
1lhu,4,6.35
1lhu,5,2.9
6g14,1,2.51
6g14,2,6.68
6g14,3,6.97
6g14,4,0.86
6g14,5,1.26
6g14,6,5.95
6g14,7,7.48
6g14,8,6.6
6g14,9,6.24
1h46,1,3.99
1h46,2,7.62
1h46,3,2.58
1h46,4,4.55
1h46,5,8.86
1h46,6,4.39
1h46,7,8.63
1h46,8,7.5
1h46,9,7.36
1h46,10,7.59
6n5x,1,4.39
6n5x,2,4.67
6n5x,3,4.84
6n5x,4,4.31
6n5x,5,4.49
6n5x,6,4.83
6n5x,7,2.21
6n5x,8,4.59
6n5x,9,3.2
6n5x,10,4.07
1m2q,1,6.11
1m2q,2,4.86
1m2q,3,4.76
1m2q,4,3.69
1m2q,5,0.18
1m2q,6,2.1
1m2q,7,4.05
1m2q,8,4.74
1m2q,9,5.18
1m2q,10,4.72
5d3l,1,3.7
5d3l,2,4.96
5d3l,3,8.31
5d3l,4,2.73
5d3l,5,1.23
5d3l,6,4.98
5d3l,7,1.45
5d3l,8,5.09
5d3l,9,2.39
5d3l,10,8.37
3tk2,1,0.39
3tk2,2,0.36
3tk2,3,4.87
3tk2,4,4.84
3tk2,5,1.9
3tk2,6,2.02
3tk2,7,5.07
3tk2,8,4.75
3tk2,9,3.91
3tk2,10,1.91
4jal,1,0.73
4jal,2,4.8
4jal,3,5.57
4jal,4,1.58
4jal,5,1.56
4jal,6,4.41
4jal,7,6.9
4jal,8,7.24
4jal,9,6.87
4jal,10,7.21
5org,1,0.43
5org,2,1.43
5org,3,5.58
5org,4,2.29
5org,5,3.61
5org,6,3.29
5org,7,5.96
5org,8,3.89
5org,9,5.05
5org,10,5.45
2ra6,1,0.53
2ra6,2,0.53
2ra6,3,3.12
2ra6,4,3.13
2ra6,5,1.93
2ra6,6,2.79
2ra6,7,2.99
2ra6,8,4.09
2ra6,9,6.45
3oy8,1,5.27
3oy8,2,6.33
3oy8,3,6.42
3oy8,4,4.99
3oy8,5,8.0
3oy8,6,9.21
3oy8,7,4.46
3oy8,8,6.44
3oy8,9,6.46
3oy8,10,2.06
3oy8,1,5.27
3oy8,2,6.33
3oy8,3,6.42
3oy8,4,4.99
3oy8,5,8.0
3oy8,6,9.21
3oy8,7,4.46
3oy8,8,6.44
3oy8,9,6.46
3oy8,10,2.06
3ocz,1,5.36
3ocz,2,6.98
3ocz,3,1.71
3ocz,4,6.6
3ocz,5,6.75
3ocz,6,6.85
3ocz,7,6.67
3ocz,8,6.65
3ocz,9,6.93
3ocz,10,6.6
3p8n,1,0.58
3p8n,2,1.38
3p8n,3,3.88
3p8n,4,3.52
3p8n,5,6.27
3p8n,6,2.77
3p8n,7,4.23
3p8n,8,4.79
3p8n,9,9.47
3p8n,10,9.84
1uz8,1,0.7
1uz8,2,2.22
1uz8,3,5.73
1uz8,4,5.46
1uz8,5,5.98
1uz8,6,4.5
1uz8,7,6.41
1uz8,8,6.38
1uz8,9,6.16
1uz8,10,5.45
4g0p,1,6.79
4g0p,2,10.11
4g0p,3,5.76
4g0p,4,7.57
4g0p,5,6.78
4g0p,6,1.4
4g0p,7,9.19
4g0p,8,7.79
4g0p,9,7.16
4g0p,10,6.78
3gk1,1,4.86
3gk1,2,3.97
3gk1,3,2.94
3gk1,4,7.33
3gk1,5,8.26
3gk1,6,2.72
3gk1,7,8.7
3gk1,8,4.39
3gk1,9,5.99
3gk1,10,9.83
1w5y,1,0.57
1w5y,2,0.27
1w5y,3,4.37
1w5y,4,4.41
1w5y,5,2.26
1w5y,6,2.51
1w5y,7,4.39
1w5y,8,5.77
1w5y,9,4.55
1w5y,10,4.32
2j7g,1,0.88
2j7g,2,8.25
2j7g,3,5.94
2j7g,4,7.12
2j7g,5,7.18
2j7g,6,7.13
2j7g,7,5.99
2j7g,8,4.24
2j7g,9,3.46
2j7g,10,7.12
1m2p,1,0.39
1m2p,2,3.03
1m2p,3,3.8
1m2p,4,4.82
1m2p,5,5.58
1m2p,6,3.76
1m2p,7,6.29
1m2p,8,3.61
1m2p,9,5.07
1m2p,10,6.33
6hai,1,1.04
6hai,2,1.8
6hai,3,2.12
6hai,4,21.33
6hai,5,21.18
1xff,1,0.93
1xff,2,0.92
1xff,3,4.44
1xff,4,4.27
1xff,5,4.44
1xff,6,2.27
1xff,7,2.85
1xff,8,3.57
1xff,9,5.38
6cdo,1,4.13
6cdo,2,4.76
6cdo,3,5.06
6cdo,4,5.14
6cdo,5,5.58
6cdo,6,4.18
6cdo,7,5.5
6cdo,8,6.18
6cdo,9,6.35
6cdo,10,4.12
4h3f,1,0.27
4h3f,2,1.79
4h3f,3,2.42
4h3f,4,3.1
4h3f,5,3.13
4h3f,6,4.28
4h3f,7,2.81
4h3f,8,9.84
4h3f,9,9.68
4h3f,10,9.69
2ccb,3,8.3
3v51,1,0.27
3v51,2,2.48
3v51,3,1.56
3v51,4,1.86
3v51,5,2.72
3v51,6,3.65
3v51,7,3.88
3v51,8,4.68
3v51,9,6.02
3v51,10,2.49
1g7q,1,2.22
1g7q,2,14.05
1g7q,3,4.15
1g7q,4,5.81
1g7q,5,0.94
1g7q,6,13.0
1g7q,7,4.87
1g7q,8,13.55
1g7q,9,2.96
1g7q,10,7.01
4z93,1,1.55
4z93,2,6.05
4z93,3,2.72
4z93,4,6.43
4z93,5,6.41
4z93,6,6.93
4z93,7,5.97
4z93,8,4.84
4z93,9,6.37
4z93,10,5.73
3i51,1,0.88
3i51,2,0.34
3i51,3,3.57
3i51,4,3.57
3i51,5,3.17
3i51,6,3.19
3i51,7,10.74
3i51,8,2.92
3i51,9,10.13
3i51,10,9.32
3f48,1,0.25
3f48,2,0.25
3f48,3,2.16
3f48,4,2.78
3f48,5,2.78
3f48,6,3.78
3f48,7,3.05
3f48,8,7.54
3f48,9,7.76
3f48,10,7.73
5uv2,1,5.93
5uv2,2,6.5
5uv2,3,5.26
5uv2,5,6.66
5uv2,6,5.97
5uv2,7,6.96
5uv2,8,6.24
5uv2,9,6.13
5uv2,10,3.1
5d21,1,0.65
5d21,2,0.65
5d21,3,6.19
5d21,4,5.4
5d21,5,5.53
5d21,6,5.58
5d21,7,6.06
5d21,8,1.81
5d21,9,6.01
5d21,10,1.91
4lm1,1,2.88
4lm1,2,4.35
4lm1,3,4.33
4lm1,4,0.88
4lm1,5,3.03
4lm1,6,3.2
4lm1,7,1.54
4lm1,8,3.67
4lm1,9,3.36
4lm1,10,4.75
2qbq,1,0.38
2qbq,2,1.34
2qbq,3,5.99
2qbq,4,2.23
2qbq,5,3.53
2qbq,6,2.63
2qbq,7,5.19
2qbq,8,2.68
2qbq,9,4.03
2qbq,10,9.37
3djo,1,1.69
3djo,2,4.53
3djo,3,6.61
3djo,4,1.14
3djo,5,5.41
3djo,6,6.33
3djo,7,4.47
3djo,8,4.9
3djo,9,4.95
3djo,10,5.02
2buv,1,0.4
2buv,2,2.28
2buv,3,1.93
2buv,4,4.31
2buv,5,4.53
2buv,6,3.42
2buv,7,2.14
2buv,8,4.79
2buv,9,4.42
2buv,10,3.27
2v58,1,0.29
2v58,2,0.38
2v58,3,6.31
2v58,4,6.31
2v58,5,6.62
2v58,6,6.63
2v58,7,6.34
2v58,8,6.34
2v58,9,3.35
2v58,10,3.12
5fe7,1,0.69
5fe7,2,5.08
5fe7,3,2.24
5fe7,4,4.16
5fe7,5,3.24
5fe7,6,2.32
5fe7,7,2.9
5fe7,8,4.95
5fe7,9,3.07
5fe7,10,2.71
3ewc,1,2.88
3ewc,2,0.61
3ewc,3,6.26
3ewc,4,2.28
3ewc,5,6.02
3ewc,6,3.55
4zv2,1,0.86
4zv2,2,2.46
4zv2,3,1.87
4zv2,4,3.29
4zv2,5,2.72
4zv2,6,4.4
4zv2,7,4.66
4zv2,8,4.83
4zv2,9,3.18
4zv2,10,4.45
6e5t,1,2.05
6e5t,2,0.8
6e5t,3,4.14
6e5t,4,3.96
6e5t,5,5.04
6e5t,6,4.67
6e5t,7,5.13
6e5t,8,3.55
6e5t,9,5.47
6e5t,10,3.26
3shc,1,0.33
3shc,2,2.57
3shc,3,2.8
3shc,4,3.5
3shc,5,3.26
3shc,6,3.85
3shc,7,5.2
3shc,8,7.36
3shc,9,4.42
5kly,1,0.79
5kly,2,9.52
5kly,3,4.92
5kly,4,9.16
5kly,5,9.65
5kly,6,10.95
5kly,7,10.68
5kly,8,10.61
5kly,9,11.52
5kly,10,10.09
5mo8,1,1.34
5mo8,2,2.0
5mo8,3,2.96
5mo8,4,12.37
5mo8,5,11.82
5mo8,6,3.2
5mo8,7,2.43
5mo8,8,13.01
5mo8,9,12.32
5mo8,10,9.95
1bnt,1,0.76
1bnt,2,3.73
1bnt,3,4.56
1bnt,4,7.67
1bnt,5,4.37
1bnt,6,4.35
1bnt,7,7.69
1bnt,8,3.7
1bnt,9,3.76
1bnt,10,7.71
4mo4,1,2.73
4mo4,2,2.59
4mo4,3,2.7
4mo4,4,3.27
4mo4,5,2.28
4mo4,6,2.31
4mo4,7,2.81
4mo4,8,2.04
4mo4,9,8.68
4mo4,10,3.64
4ef6,1,1.97
4ef6,2,0.42
4ef6,3,3.12
4ef6,4,2.17
4ef6,5,3.85
4ef6,6,5.77
4ef6,7,2.71
4ef6,8,6.39
4ef6,9,5.55
4ef6,10,6.12
6sge,1,0.4
6sge,2,2.1
6sge,3,3.48
5umx,1,4.97
5umx,2,2.06
5umx,5,2.0
5umx,6,5.66
5umx,7,6.35
5umx,8,6.87
5umx,10,7.08
3kmx,1,0.97
3kmx,2,1.59
3kmx,3,1.66
3kmx,4,0.77
3kmx,5,2.77
3kmx,6,5.9
3kmx,7,1.94
3kmx,8,2.96
3kmx,9,5.9
3kmx,10,1.72
6iez,1,3.29
6iez,2,0.81
6iez,3,4.41
6iez,4,5.78
6iez,5,1.99
6iez,6,9.14
6iez,7,9.22
6iez,8,9.33
6iez,9,4.39
6iez,10,8.59
5f2p,1,2.15
5f2p,2,0.24
5f2p,3,5.09
5f2p,4,1.0
5f2p,5,5.54
5f2p,6,3.01
5f2p,7,2.21
5f2p,8,3.1
5f2p,9,3.61
5f2p,10,4.98
6pg6,1,7.11
6pg6,2,0.73
6pg6,3,3.18
6pg6,4,6.51
6pg6,5,7.28
6pg6,6,6.18
6pg6,7,6.9
6pg6,8,6.99
6pg6,9,5.49
6pg6,10,6.46
4oeu,1,2.07
4oeu,2,2.19
4oeu,3,2.69
4oeu,4,2.78
4oeu,5,1.89
4oeu,6,1.92
4oeu,7,2.0
4oeu,8,4.86
4oeu,9,4.34
4oeu,10,4.37
3tif,1,0.41
3tif,2,2.01
3tif,3,4.49
3tif,4,3.96
3tif,5,5.2
3tif,6,5.53
3tif,7,3.88
3tif,8,5.59
3tif,9,3.71
3tif,10,7.09
4a4q,1,1.11
4a4q,3,3.86
4a4q,4,3.97
4a4q,5,8.02
4a4q,6,11.43
4a4q,7,11.13
4a4q,8,2.27
4a4q,9,4.5
4a4q,10,11.2
1qk4,1,0.49
1qk4,2,7.31
1qk4,3,7.06
1qk4,4,6.91
1qk4,5,5.28
1qk4,6,1.77
1qk4,7,5.93
1qk4,8,5.45
1qk4,9,5.78
2wky,1,2.93
2wky,2,0.35
2wky,3,1.48
2wky,4,1.58
2wky,5,4.69
2wky,6,3.03
2wky,7,4.87
2wky,8,5.18
2wky,9,4.61
2wky,10,5.13
1n4h,1,0.98
1n4h,2,1.53
1n4h,3,2.22
1n4h,4,2.4
1n4h,5,1.79
1n4h,6,2.66
1n4h,7,2.27
1n4h,8,1.49
1n4h,9,9.49
1n4h,10,9.68
6dq4,1,5.76
6dq4,2,5.18
6dq4,3,6.45
6dq4,4,3.36
6dq4,5,4.12
6dq4,6,6.16
6dq4,7,5.93
6dq4,8,1.57
6dq4,9,6.42
6dq4,10,7.05
1ydr,1,0.51
1ydr,2,3.5
1ydr,3,3.76
1ydr,4,2.72
1ydr,5,3.88
1ydr,6,2.55
1ydr,7,1.65
1ydr,8,3.14
1ydr,9,10.12
1ydr,10,3.78
5fh7,1,0.67
5fh7,2,0.61
5fh7,3,3.05
5fh7,4,2.73
5fh7,5,3.12
5fh7,6,6.78
5fh7,7,2.31
5fh7,8,5.61
5fh7,9,6.09
5fh7,10,4.4
5nkh,1,5.62
5nkh,2,5.81
5nkh,3,1.24
5nkh,4,4.92
5nkh,5,2.48
5nkh,6,5.23
5nkh,7,2.78
5nkh,8,1.66
5nkh,9,5.85
5nkh,10,2.21
2wf5,1,2.87
2wf5,2,3.59
2wf5,3,0.64
2wf5,4,1.6
2wf5,5,3.03
2wf5,6,3.93
2wf5,7,5.12
2wf5,8,5.15
2wf5,9,5.45
2wf5,10,1.19
3mi2,1,0.77
3mi2,2,1.62
3mi2,3,6.69
3mi2,4,5.68
3mi2,5,3.62
3mi2,6,3.81
3mi2,7,6.71
3mi2,8,2.19
3uev,1,1.7
3uev,2,2.05
3uev,3,1.64
3uev,4,9.84
3uev,5,2.82
3uev,6,3.38
3uev,7,3.21
3uev,8,10.01
3uev,9,9.31
3uev,10,4.02
1vzq,1,0.27
1vzq,2,4.11
1vzq,3,2.07
1vzq,4,4.95
1vzq,5,7.66
1vzq,6,2.38
1vzq,7,4.1
1vzq,8,3.6
1vzq,9,8.35
1vzq,10,7.24
1wn6,1,3.78
1wn6,2,3.28
1wn6,3,1.89
1wn6,4,4.06
1wn6,5,0.41
1wn6,6,2.02
1wn6,7,2.74
1wn6,8,2.5
1wn6,9,10.38
1wn6,10,10.13
4m8x,1,1.97
4m8x,2,11.76
4m8x,3,11.61
4m8x,4,11.86
4m8x,5,9.89
4m8x,6,1.53
4m8x,7,2.22
4m8x,8,3.42
4m8x,9,12.04
4m8x,10,2.87
5i1q,1,0.35
5i1q,2,3.45
5i1q,3,4.73
5i1q,4,6.64
5i1q,5,3.34
5i1q,6,3.46
5i1q,7,6.26
5i1q,8,5.61
5i1q,9,6.96
5i1q,10,7.69
2xnb,1,1.01
2xnb,2,1.61
2xnb,3,5.62
2xnb,4,5.79
2xnb,5,6.14
2xnb,6,4.29
2xnb,7,9.53
2xnb,8,9.13
2xnb,9,9.32
2xnb,10,9.27
2xj2,1,0.68
2xj2,2,3.94
2xj2,3,1.56
2xj2,4,0.98
2xj2,5,4.0
2xj2,6,2.3
2xj2,7,5.45
2xj2,8,4.77
2xj2,9,5.47
2xj2,10,4.84
4yho,1,1.42
4yho,2,1.81
4yho,3,0.86
4yho,4,2.5
4yho,5,2.22
4yho,6,7.51
4yho,7,3.59
4yho,8,3.5
4yho,9,6.24
4yho,10,4.9
6np2,1,0.93
6np2,2,3.04
