PDB,Tem Mutação,Mutações,Mutação no pocket,Missing residues,Posição residuos faltantes,Missing data | Pocket,Número de cadeias: protein.pdb,Global Stoichiometry,Small Molecules,Metals | Pocket,Membrane Protein
4w9i,No,Empty,Não,Sim,Chain A (60 | 89) Chain B (48:57) Chain C (77),Não **,3,Hetero 3-mer - A1B1C1,3 x CAS,Não,
4w9l,No,Empty,Não,Sim,Chain A (60 | 89) Chain B (48:57) Chain C (77),Não **,3,Hetero 3-mer - A1B1C1 ,3 x CAS,Não,
4wiv,No,Empty,Não,Sim,144,Não,1,Monomer - A1,,,
4x6p,Yes,113,Não sei,Sim,144,Não,1,Monomer - A1,,,
5a7b,Yes,40-110-127-146-175,Não sei,Não,Empty,Não,1,Monomer - A1,ZN-1,Não,
5aba,Yes,40-110-127-146-175,Não,Não,Empty,Não,1,Monomer - A,ZN-1,Não,
5c28,No,Empty,Não,Não,Empty,Não,1,Monomer - A,"MG-1, ZN-1",Sim,
5c2h,No,Empty,Não,Não,Empty,Não,1,Monomer - A,"MG-1, ZN-1",Sim,
5dwr,No,Empty,Não,Não,Empty,Não,1,Monomer - A,SEP-1,,
5tmn,No,Empty,Não,Não,Empty,Não,1,Monomer - A,8 x CA | 2 x ZN,Sim,
