PDB code,Protein name
1aj7,IMMUNOGLOBULIN 48G7 GERMLINE FAB
1v16,2-OXOISOVALERATE DEHYDROGENASE ALPHA SUBUNIT
3w5n,PUTATIVE RHAMNOSIDASE
3wjw,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE
4nbk,CASPASE-6
5oh3,CEREBLON ISOFORM 4
6gji,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A
3si4,THROMBIN
4mjp,DNA POLYMERASE III SUBUNIT BETA
5eqe,CHOLINE KINASE ALPHA
1m0q,"2,2-DIALKYLGLYCINE DECARBOXYLASE"
2ctc,CARBOXYPEPTIDASE A
3iae,BENZALDEHYDE LYASE
4aj4,L-LACTATE DEHYDROGENASE A CHAIN
4nl1,DIHYDROPTEROATE SYNTHASE
4ufk,GALACTOCEREBROSIDASE
1avn,CARBONIC ANHYDRASE 2
2gvv,PHOSPHOTRIESTERASE
2qw1,D-GALACTOSE-BINDING PERIPLASMIC PROTEIN
2rkm,OLIGO-PEPTIDE BINDING PROTEIN
2vhj,NTPASE P4
2vuk,CELLULAR TUMOR ANTIGEN P53
2wor,PROTEIN S100-A7
2wos,PROTEIN S100-A7
4n9c,NICOTINAMIDE PHOSPHORIBOSYLTRANSFERASE
4qgi,HIV-1 PROTEASE
6c85,ASPARTATE-SEMIALDEHYDE DEHYDROGENASE
1kuk,METALLOPROTEINASE
6d1b,METALLO-BETA-LACTAMASE TYPE 2
1pr5,PURINE NUCLEOSIDE PHOSPHORYLASE
3ap4,GALECTIN-8
3twp,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE
6g9x,MAJOR FACILITATOR SUPERFAMILY MFS_1
6hzy,ALPHA-L-FUCOSIDASE
1h5v,ENDOGLUCANASE 5A
2a5b,AVIDIN
2cbz,MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 1
6g9i,ENVELOPE GLYCOPROTEIN 1
1v1m,2-OXOISOVALERATE DEHYDROGENASE ALPHA SUBUNIT
2v3d,GLUCOSYLCERAMIDASE
4bi6,TRIOSEPHOSPHATE ISOMERASE
5fou,DNA REPAIR AND RECOMBINATION PROTEIN RADA
5m5d,GLYCOSYL HYDROLASE FAMILY 71
6cbg,MACROPHAGE MIGRATION INHIBITORY FACTOR
6jaq,"ABC TRANSPORTER, PERIPLASMIC SUBSTRATE-BINDING PROTEIN"
1mrs,THYMIDYLATE KINASE
2fpz,TRYPTASE BETA-2
2wec,PENICILLOPEPSIN
3c39,PHOSPHOGLYCERATE KINASE 1
3gt9,BACULOVIRAL IAP REPEAT-CONTAINING PROTEIN 7
4gqr,ALPHA-AMYLASE
4agn,CELLULAR TUMOR ANTIGEN P53
4ibg,POLYMERASE COFACTOR VP35
1v11,2-OXOISOVALERATE DEHYDROGENASE ALPHA SUBUNIT
3b3c,LEUCYL AMINOPEPTIDASE
4agm,CELLULAR TUMOR ANTIGEN P53
5os8,"CASEIN KINASE II, ALPHA SUBUNIT"
5yj8,TUDOR DOMAIN-CONTAINING PROTEIN 3
6rih,D-3-PHOSPHOGLYCERATE DEHYDROGENASE
1rpf,RIBONUCLEASE A
4i7l,LYSOZYME
1e5j,ENDOGLUCANASE 5A
1lgw,T4 LYSOZYME
1tni,TRYPSIN
1wc1,ADENYLATE CYCLASE
2buv,"PROTOCATECHUATE 3,4-DIOXYGENASE ALPHA CHAIN"
2ot1,FRUCTOSE-BISPHOSPHATE ALDOLASE A
2qrl,SACCHAROPINE DEHYDROGENASE
2rin,PUTATIVE GLYCINE BETAINE-BINDING ABC TRANSPORTER
2whp,ACETYLCHOLINESTERASE
3a1c,PROBABLE COPPER-EXPORTING P-TYPE ATPASE A
3ijh,IMMUNOGLUBILIN LIGHT CHAIN (IGG3)
3vd9,BETA-GALACTOSIDASE
4p6c,"3,4-DIHYDROXY-2-BUTANONE 4-PHOSPHATE SYNTHASE"
4umb,PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE
5g4n,CELLULAR TUMOR ANTIGEN P53
5h1v,TRANSCRIPTION INTERMEDIARY FACTOR 1-ALPHA
5mgk,BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 2A
5wcm,BLR6230 PROTEIN
1v2w,TRYPSIN
3fzn,BENZOYLFORMATE DECARBOXYLASE
2wvz,"PUTATIVE ALPHA-1,2-MANNOSIDASE"
3po1,THROMBIN
5vsj,"ALPHA-1,4-GLUCAN:MALTOSE-1-PHOSPHATE MALTOSYLTRANSFERASE 1"
2q8m,FRUCTOSE-BISPHOSPHATASE
2x96,ANGIOTENSIN-CONVERTING ENZYME
3bxh,CENTRAL GLYCOLYTIC GENE REGULATOR
3nq9,BETA-LACTOGLOBULIN
4msn,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
5e2l,3-DEOXY-D-ARABINOHEPTULOSONATE-7-PHOSPHATE SYNTHASE
5nzf,NEURAMINIDASE
6cze,ATP-DEPENDENT DETHIOBIOTIN SYNTHETASE BIOD
6hni,"ABC-TYPE TRANSPORT SYSTEM, SUGAR-FAMILY EXTRACELLULAR"
1hi5,EOSINOPHIL-DERIVED NEUROTOXIN
1li2,T4 LYSOZYME
6i0z,FASCIN
6qlt,GALECTIN-3
2w66,O-GLCNACASE BT_4395
3n8k,3-DEHYDROQUINATE DEHYDRATASE
3qx9,PROTEIN ARGONAUTE 2
5gof,MITOFUSIN-1
2clh,TRYPTOPHAN SYNTHASE ALPHA CHAIN
3m3c,ANTI-TUMOR LECTIN
5mge,BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 2B
5om2,ALPHA-1-ANTICHYMOTRYPSIN
8a3h,ENDOGLUCANASE 5A
1hyo,FUMARYLACETOACETATE HYDROLASE
2v2v,4-DIPHOSPHOCYTIDYL-2-C-METHYL-D-ERYTHRITOL KINASE
4xmr,PUTATIVE METHYL-ACCEPTING CHEMOTAXIS SIGNAL TRANSDU
5mpz,CREB-BINDING PROTEIN
5ot9,NOPALINE-BINDING PERIPLASMIC PROTEIN
6dai,WD REPEAT-CONTAINING PROTEIN 5
6i18,FASCIN
2rke,PHOSPHOENOLPYRUVATE CARBOXYKINASE
2z1w,QUEUINE TRNA-RIBOSYLTRANSFERASE
3kwa,CARBONIC ANHYDRASE 2
1ai7,PENICILLIN AMIDOHYDROLASE
1o0n,RIBONUCLEASE
2v88,VDJ RECOMBINATION-ACTIVATING PROTEIN 2
4b9z,"ALPHA-GLUCOSIDASE, ADG31B"
4fxp,ADENYLYL-SULFATE KINASE 1
5var,LYSINE-SPECIFIC DEMETHYLASE 4A
6d1i,METALLO-BETA-LACTAMASE TYPE 2
1c5t,TRYPSIN
1odj,PURINE NUCLEOSIDE PHOSPHORYLASE
2bvs,THROMBIN ALPHA
3gk1,PROTEIN S100-B
3iod,PANTOTHENATE SYNTHETASE
4cr9,COAGULATION FACTOR XI
5cc2,GLUTAMATE RECEPTOR DELTA-2
5kat,SA2223 PROTEIN
5om3,ALPHA-1-ANTICHYMOTRYPSIN
5t7s,GALECTIN-8
6dpy,BETA-LACTAMASE
6ios,METHYL-ACCEPTING CHEMOTAXIS PROTEIN
1p19,HYPOXANTHINE PHOSPHORIBOSYLTRANSFERASE
2exm,CELL DIVISION PROTEIN KINASE 2
3d6o,RIBONUCLEASE
3oyw,GALECTIN-1
3v4t,UDP-N-ACETYLGLUCOSAMINE 1-CARBOXYVINYLTRANSFERASE
4ih5,RNA-DIRECTED RNA POLYMERASE
5dnu,SHKAI2IB
5e6o,PROTEIN LGG-2
5fnc,HEAT SHOCK PROTEIN HSP90-ALPHA
3a1d,PROBABLE COPPER-EXPORTING P-TYPE ATPASE A
3ivc,PANTOTHENATE SYNTHETASE
3mam,OSMOPROTECTION PROTEIN (PROX)
4de2,BETA-LACTAMASE CTX-M-9A
4kxb,GLUTAMYL AMINOPEPTIDASE
4qfn,ABC TRANSPORTER PERIPLASMIC PEPTIDE-BINDING PROTEIN
4whs,"PROTOCATECHUATE 3,4-DIOXYGENASE"
4zow,MULTIDRUG TRANSPORTER MDFA
6cvv,ATP-DEPENDENT DETHIOBIOTIN SYNTHETASE BIOD
3ozt,CATECHOL O-METHYLTRANSFERASE
3qto,THROMBIN
4ovf,DNA POLYMERASE III SUBUNIT BETA
4yc0,PUTATIVE NAD(+)--ARGININE ADP-RIBOSYLTRANSFERASE VI
4i7m,LYSOZYME
4ibi,POLYMERASE COFACTOR VP35
5dq8,TRANSCRIPTIONAL ENHANCER FACTOR TEF-4
5lvq,HISTONE ACETYLTRANSFERASE KAT2B
1m2x,CLASS B CARBAPENEMASE BLAB-1
1q91,5'(3')-DEOXYRIBONUCLEOTIDASE
2v2q,4-DIPHOSPHOCYTIDYL-2-C-METHYL-D-ERYTHRITOL KINASE
2vt3,REDOX-SENSING TRANSCRIPTIONAL REPRESSOR REX
2xg9,BETA-AMYLASE
3a9i,HOMOCITRATE SYNTHASE
3d51,ALPHA-MANNOSIDASE II
3sur,BETA-HEXOSAMINIDASE
3sus,BETA-HEXOSAMINIDASE
4abh,TRYPSIN
4cr5,COAGULATION FACTOR XIA
4ibe,POLYMERASE COFACTOR VP35
4kz4,BETA-LACTAMASE
5aan,"CG5907-PA, ISOFORM A"
3si3,THROMBIN
4jkw,BUTYROPHILIN SUBFAMILY 3 MEMBER A1
5fyx,FREQUENIN 2
5ito,NOPALINE-BINDING PERIPLASMIC PROTEIN
1v2s,TRYPSIN
3qfd,HLA CLASS I HISTOCOMPATIBILITY ANTIGEN
4oma,METHIONINE GAMMA-LYASE
5bw4,16S RRNA (ADENINE(1408)-N(1))-METHYLTRANSFERASE
5ldp,"RNA 2',3'-CYCLIC PHOSPHODIESTERASE"
3q2j,AMINOGLYCOSIDE 3'-PHOSPHOTRANSFERASE
5vgy,CARBONIC ANHYDRASE 2
6dy7,WD REPEAT-CONTAINING PROTEIN 5
1hi3,EOSINOPHIL-DERIVED NEUROTOXIN
3b3w,LEUCYL AMINOPEPTIDASE
3cft,TRANSTHYRETIN
3sv2,THROMBIN
4n9a,DNA POLYMERASE III SUBUNIT BETA
4nra,BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 2B
4q83,CARBONIC ANHYDRASE 2
1c5y,UROKINASE-TYPE PLASMINOGEN ACTIVATOR
1c87,PROTEIN-TYROSINE PHOSPHATASE 1B
1ghw,THROMBIN
3djp,SEMINAL RIBONUCLEASE
3qx5,THROMBIN
5fcz,B-N-ACETYLHEXOSAMINIDASE
5ot8,NOPALINE-BINDING PERIPLASMIC PROTEIN
1odi,PURINE NUCLEOSIDE PHOSPHORYLASE
1qk4,HYPOXANTHINE-GUANINE PHOSPHORIBOSYLTRANSFERASE
4bqs,SHIKIMATE KINASE
4u6w,METHIONINE AMINOPEPTIDASE 1
5n99,STREPTAVIDIN
5ti0,CARBONIC ANHYDRASE 2
5wbo,KETOHEXOKINASE
1kv5,TRIOSEPHOSPHATE ISOMERASE
1pzi,HEAT-LABILE ENTEROTOXIN B CHAIN
1t5f,ARGINASE 1
1ua4,ADP-DEPENDENT GLUCOKINASE
3f80,ARGINASE-1
3kyq,SYNAPTOBREVIN HOMOLOG YKT6
4gny,BETA-LACTOGLOBULIN
4mo4,ANHYDRO-N-ACETYLMURAMIC ACID KINASE
4oak,"D,D-DIPEPTIDASE/D,D-CARBOXYPEPTIDASE"
5kh3,HISTONE DEACETYLASE 6
2jke,ALPHA-GLUCOSIDASE SUSB
2jkp,ALPHA-GLUCOSIDASE SUSB
3zqe,"PROTEIN PRGI, CELL INVASION PROTEIN SIPD"
4qfp,ABC TRANSPORTER PERIPLASMIC PEPTIDE-BINDING PROTEIN
5fnr,KELCH-LIKE ECH-ASSOCIATED PROTEIN 1
2bes,CARBOHYDRATE-PHOSPHATE ISOMERASE
3h78,PQS BIOSYNTHETIC ENZYME
5csp,"CASEIN KINASE II, ALPHA SUBUNIT"
5e13,EOSINOPHIL-DERIVED NEUROTOXIN
5f8y,GALNAC/GAL-SPECIFIC LECTIN
5oh2,CEREBLON ISOFORM 4
5u0w,DIHYDROPTEROATE SYNTHASE
5uff,RBC36
5ut6,TYROSINE-PROTEIN KINASE JAK2
1li3,T4 LYSOZYME
5b2d,HN PROTEIN
5ei3,EUKARYOTIC TRANSLATION INITIATION FACTOR 4E
5km9,HISTIDINE TRIAD NUCLEOTIDE-BINDING PROTEIN 2
6d1j,METALLO-BETA-LACTAMASE TYPE 2
6dys,EBONY
6mdu,METALLO-BETA-LACTAMASE TYPE 2
2qrk,SACCHAROPINE DEHYDROGENASE
3qwc,THROMBIN
4r0a,TOLL-LIKE RECEPTOR 8
4u69,METHIONINE AMINOPEPTIDASE 1
5f9b,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA
6gnm,TRANSTHYRETIN
1m5w,PYRIDOXAL PHOSPHATE BIOSYNTHETIC PROTEIN PDXJ
4qfo,ABC TRANSPORTER PERIPLASMIC PEPTIDE-BINDING PROTEIN
5mgf,BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 2B
6hh5,ADP-RIBOSYLHYDROLASE LIKE 2
2vzr,EXO-BETA-D-GLUCOSAMINIDASE
3f5j,BETA-GLUCOSIDASE
3gta,BACULOVIRAL IAP REPEAT-CONTAINING PROTEIN 7
3jrs,PUTATIVE UNCHARACTERIZED PROTEIN AT5G46790
4ufj,GALACTOCEREBROSIDASE
5f2r,78 KDA GLUCOSE-REGULATED PROTEIN
5l4j,TRANSTHYRETIN
1e2l,THYMIDINE KINASE
1v2l,TRYPSIN
2wuf,"2-HYDROXY-6-OXO-6-PHENYLHEXA-2,4-DIENOATE"
4i3z,CELL DIVISION PROTEIN KINASE 2
5mgj,BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 2A
1a30,HIV-1 PROTEASE
1amk,TRIOSEPHOSPHATE ISOMERASE
1det,RIBONUCLEASE T1
1w3k,ENDOGLUCANASE 5A
2cli,TRYPTOPHAN SYNTHASE ALPHA CHAIN
3ivg,PANTOTHENATE SYNTHETASE
3t0b,BETA-GALACTOSIDASE
3upk,UDP-N-ACETYLGLUCOSAMINE 1-CARBOXYVINYLTRANSFERASE
4eoh,PYRIDOXAL KINASE
4ibk,POLYMERASE COFACTOR VP35
4k7o,PEROXIREDOXIN-5
4o61,RNA DEMETHYLASE ALKBH5
4zme,MYOSIN HEAVY CHAIN KINASE A
5ewy,PUTATIVE ADP-RIBOSYLTRANSFERASE SCABIN
5jgi,NEUROPILIN-1
6fuj,COMPLEMENT FACTOR D
6q4g,CYCLIN-DEPENDENT KINASE 2
1ajq,PENICILLIN AMIDOHYDROLASE
2tpi,TRYPSINOGEN
4kow,UNCHARACTERIZED PROTEIN
6ajr,URACIL DNA GLYCOSYLASE SUPERFAMILY PROTEIN
6f20,"7,8-DIHYDRO-8-OXOGUANINE TRIPHOSPHATASE"
6ior,METHYL-ACCEPTING CHEMOTAXIS PROTEIN
2ha6,ACETYLCHOLINESTERASE
2qtt,5'-METHYLTHIOADENOSINE NUCLEOSIDASE
4q7p,CARBONIC ANHYDRASE 2
4rsk,RIBONUCLEASE A
4u43,MITOGEN-ACTIVATED PROTEIN KINASE 4
4ucc,NUCLEOPROTEIN
5m28,MALE1
6jad,"ABC TRANSPORTER, PERIPLASMIC SUBSTRATE-BINDING PROTEIN"
1olx,2-OXOISOVALERATE DEHYDROGENASE ALPHA SUBUNIT
4ibj,POLYMERASE COFACTOR VP35
4zcs,CHOLINE-PHOSPHATE CYTIDYLYLTRANSFERASE
6czb,ATP-DEPENDENT DETHIOBIOTIN SYNTHETASE BIOD
6exj,SH3 AND MULTIPLE ANKYRIN REPEAT DOMAINS PROTEIN 3
6g29,HISTONE-LYSINE N-METHYLTRANSFERASE NSD3
1e3v,STEROID DELTA-ISOMERASE
1z6s,RIBONUCLEASE
5n3v,THERMOLYSIN
6ajz,BROMODOMAIN-CONTAINING PROTEIN 4
1ghv,THROMBIN
1sv3,PHOSPHOLIPASE A2
1yfz,HYPOXANTHINE-GUANINE PHOSPHORIBOSYLTRANSFERASE
4owv,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE
5ka7,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 1"
6d1a,METALLO-BETA-LACTAMASE TYPE 2
6r1a,CEREBLON ISOFORM 4
1dy4,CELLOBIOHYDROLASE I
2ez7,CARBONIC ANHYDRASE 2
4nbn,CASPASE-6
1td7,"PHOSPHOLIPASE A2, ISOFORM 3"
4gu9,FOCAL ADHESION KINASE 1
5oh7,CEREBLON ISOFORM 4
6qi4,NEURONAL CALCIUM SENSOR 1
1bhf,T-LYMPHOCYTE-SPECIFIC PROTEIN TYROSINE KINASE
3b24,HEAT SHOCK PROTEIN HSP90-ALPHA
3u9q,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA
6hgj,ALPHA-1-ANTICHYMOTRYPSIN
6mla,LYSINE/ARGININE/ORNITHINE-BINDING PERIPLASMIC PROTEIN
6o5u,AMINOGLYCOSIDE N(3)-ACETYLTRANSFERASE
2avq,HIV-1 PROTEASE
2hjb,AROMATIC AMINE DEHYDROGENASE
3djo,SEMINAL RIBONUCLEASE
4zt8,RIBOSOME INACTIVATING PROTEIN
5orh,"CASEIN KINASE II, ALPHA SUBUNIT"
5zni,PURINE NUCLEOSIDE PHOSPHORYLASE
1p57,SERINE PROTEASE HEPSIN
2pwd,SUCROSE ISOMERASE
3wgg,REDOX-SENSING TRANSCRIPTIONAL REPRESSOR REX
4abd,TRYPSIN
4dy6,INORGANIC POLYPHOSPHATE/ATP-NAD KINASE 1
4omk,SEC14-LIKE PROTEIN 2
4pp0,NOPALINE-BINDING PERIPLASMIC PROTEIN
5uv2,(+)-LIMONENE SYNTHASE
1no6,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1"
1olu,2-OXOISOVALERATE DEHYDROGENASE ALPHA SUBUNIT
2csn,CASEIN KINASE-1
3rsx,BETA-SECRETASE 1
3uxd,KEMP ELIMINASE KE59 R1 7/10H
4exs,METALLO-BETA-LACTAMASE NDM-1
4ou3,AMINOPEPTIDASE N
5e74,BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 2B
5ka9,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 1"
1tjp,TRYPTOPHAN SYNTHASE ALPHA CHAIN
3dri,OLIGO-PEPTIDE BINDING PROTEIN (OPPA)
4cc5,DNA LIGASE
4ek9,"HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-79 SPECIFIC"
4q7s,CARBONIC ANHYDRASE 2
6h8s,TYROSINE-PROTEIN PHOSPHATASE NON-RECEPTOR TYPE 5
2pu2,BETA-LACTAMASE
2we3,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE
2wyf,PA-I GALACTOPHILIC LECTIN
3kqr,SERUM AMYLOID P-COMPONENT
4axd,INOSITOL-PENTAKISPHOSPHATE 2-KINASE
4dsy,PURPLE ACID PHOSPHATASE
4ibf,POLYMERASE COFACTOR VP35
4jpy,PHENYLALANINE-4-HYDROXYLASE
4kcx,BROMODOMAIN TESTIS-SPECIFIC PROTEIN
4qf9,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1"
4ykj,ML032222A IGLUR
4zw5,M1 FAMILY AMINOPEPTIDASE
5f2p,BROMODOMAIN-CONTAINING PROTEIN 9
5g4o,CELLULAR TUMOR ANTIGEN P53
5h5f,PROTEIN ARGININE N-METHYLTRANSFERASE SFM1
5kad,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 1"
2amt,"2-C-METHYL-D-ERYTHRITOL 2,4-CYCLODIPHOSPHATE SYNTHASE"
3u81,CATECHOL O-METHYLTRANSFERASE
5azf,PROTEIN LGG-1
5d6j,ACYL-COA SYNTHASE
6np4,AMINOGLYCOSIDE N(3)-ACETYLTRANSFERASE
6ppy,N-ACETYLNEURAMINATE SYNTHASE
2wbg,BETA-GLUCOSIDASE A
6q3q,OUTER ENVELOPE PROTEIN 64
4gki,AMINOGLYCOSIDE 3'-PHOSPHOTRANSFERASE APHA1-IAB
4i8n,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1"
5c3p,THYMINE DIOXYGENASE
5dpx,METALLO-BETA-LACTAMASE L1
5jox,NON-REDUCING END ALPHA-L-ARABINOFURANOSIDASE BOGH43A
6fui,COMPLEMENT FACTOR D
2r2w,UROKINASE-TYPE PLASMINOGEN ACTIVATOR
3hl5,BACULOVIRAL IAP REPEAT-CONTAINING PROTEIN 4
4cu8,GLYCOSIDE HYDROLASE 2
6d1d,METALLO-BETA-LACTAMASE TYPE 2
6d1g,METALLO-BETA-LACTAMASE TYPE 2
6f05,GLUTATHIONE S-TRANSFERASE F9
1jaq,NEUTROPHIL COLLAGENASE (MMP-8)
1qan,ERMC' METHYLTRANSFERASE
2ogy,5-METHYLTETRAHYDROFOLATE CORRINOID/IRON SULFUR
3p17,THROMBIN
3t01,PHOSPHONOACETATE HYDROLASE
4dhl,PURPLE ACID PHOSPHATASE
4oks,SERINE PROTEASE NS3
5ka1,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 1"
5ovv,SH3 AND MULTIPLE ANKYRIN REPEAT DOMAINS PROTEIN 3
5tya,CARBONIC ANHYDRASE 2
6d15,CARBAPENEM-HYDROLYZING BETA-LACTAMASE KPC
1hi4,EOSINOPHIL-DERIVED NEUROTOXIN
1j14,TRYPSIN BETA
1o7o,"N-ACETYLLACTOSAMINIDE ALPHA-1,3-GALACTOSYLTRANSFERASE"
3hl8,EXODEOXYRIBONUCLEASE I
3kmy,BETA-SECRETASE 1
4cwf,HEAT SHOCK PROTEIN HSP90-ALPHA
5isz,HLA CLASS I HISTOCOMPATIBILITY ANTIGEN
5t19,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 1"
6b7a,PHOSPHOPANTETHEINE ADENYLYLTRANSFERASE
3sw8,PEPTIDE DEFORMYLASE 3
5ovx,TYROSINE-PROTEIN PHOSPHATASE NON-RECEPTOR TYPE 5
5yl2,TUBULIN ALPHA-1B CHAIN
6jag,"ABC TRANSPORTER, PERIPLASMIC SUBSTRATE-BINDING PROTEIN"
1gi7,UROKINASE-TYPE PLASMINOGEN ACTIVATOR
2r1y,ANTIBODY FAB FRAGMENT
3aas,TRYPSIN
3uug,MULTIPLE SUGAR-BINDING PERIPLASMIC RECEPTOR CHVE
4abb,TRYPSIN
4g90,RIBONUCLEASE
6nu1,PYRUVATE KINASE PKM
6qlq,GALECTIN-3
1ctt,CYTIDINE DEAMINASE
1mrn,THYMIDYLATE KINASE
1z4o,BETA-PHOSPHOGLUCOMUTASE
2a4m,TRYPTOPHANYL-TRNA SYNTHETASE II
2ra6,TRICHOSURIN
2wm0,CHITINASE A
3bzf,HLA CLASS I HISTOCOMPATIBILITY ANTIGEN
3gy7,TRYPSIN
3r6u,CHOLINE-BINDING PROTEIN
4gzw,NEURAMINIDASE
4trc,PURINE PHOSPHORIBOSYLTRANSFERASE (GPT-1)
5o1f,CELLULAR TUMOR ANTIGEN P53
5vh0,TETRABRACHION
6nco,APOLIPOPROTEIN E
6p88,UDP-3-O-(3-HYDROXYMYRISTOYL)GLUCOSAMINE N-ACYLTRANSFERASE
3h30,"CASEIN KINASE II, ALPHA SUBUNIT"
6i11,FASCIN
1amw,HEAT SHOCK PROTEIN HSP90
1b2h,OLIGO-PEPTIDE BINDING PROTEIN
1lyx,TRIOSEPHOSPHATE ISOMERASE
1szd,NAD-DEPENDENT DEACETYLASE HST2
2zz1,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE
2zz2,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE
3iub,PANTOTHENATE SYNTHETASE
4b76,SERINE PROTEASE NS3
5etb,PEREGRIN
5u0d,CARBONIC ANHYDRASE 2
6p5o,PHOSPHOENOLPYRUVATE CARBOXYKINASE
6pga,WD REPEAT-CONTAINING PROTEIN 5
6pid,ACETYLPOLYAMINE AMIDOHYDROLASE
3b2q,V-TYPE ATP SYNTHASE BETA CHAIN
3djv,SEMINAL RIBONUCLEASE
3p8p,"N(G),N(G)-DIMETHYLARGININE DIMETHYLAMINOHYDROLASE 1"
3ppq,GLYCINE BETAINE/CARNITINE/CHOLINE-BINDING PROTEIN
3rr4,QUEUINE TRNA-RIBOSYLTRANSFERASE
3suv,BETA-HEXOSAMINIDASE
4myd,"2-SUCCINYL-6-HYDROXY-2,4-CYCLOHEXADIENE-1-CARBOXYLA"
5c2o,PUTATIVE DEOXYCYTIDYLATE DEAMINASE
5oh4,CEREBLON ISOFORM 4
5oss,BETA-GLUCOSIDASE A
6edr,ADP-RIBOSYL CYCLASE/CYCLIC ADP-RIBOSE HYDROLASE 1
6gnp,TRANSTHYRETIN
4x3k,CHROMOBOX PROTEIN HOMOLOG 7
5ost,GLUCOSYLCERAMIDASE
4fp1,MANDELATE RACEMASE
4or4,POLYMERASE BASIC PROTEIN 2
4yrd,CAPSULAR POLYSACCHARIDE SYNTHESIS ENZYME CAP5F
5ko5,PURINE NUCLEOSIDE PHOSPHORYLASE
5ovr,TYROSINE-PROTEIN PHOSPHATASE NON-RECEPTOR TYPE 5
6np5,AMINOGLYCOSIDE N(3)-ACETYLTRANSFERASE
4bi7,TRIOSEPHOSPHATE ISOMERASE
5j7q,MACROPHAGE MIGRATION INHIBITORY FACTOR
5u0g,CARBONIC ANHYDRASE 2
1bma,ELASTASE
2ihj,"ALPHA-2,3/2,6-SIALYLTRANSFERASE/SIALIDASE"
2jiw,O-GLCNACASE BT_4395
3hp9,EXODEOXYRIBONUCLEASE I
3ujc,PHOSPHOETHANOLAMINE N-METHYLTRANSFERASE
4c6u,3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE 1
4g8y,RIBONUCLEASE
5k9w,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 1"
6fnq,HISTIDINE N-ALPHA-METHYLTRANSFERASE
1pa9,PROTEIN-TYROSINE PHOSPHATASE YOPH
1tx7,TRYPSINOGEN
1u33,ALPHA-AMYLASE
1upf,URACIL PHOSPHORIBOSYLTRANSFERASE
2pyy,IONOTROPIC GLUTAMATE RECEPTOR BACTERIAL HOMOLOGUE
2v54,THYMIDYLATE KINASE
2vb8,3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE 1
2vba,3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE 1
2wlz,CHITINASE A
2x0y,O-GLCNACASE NAGJ
3d7k,BENZALDEHYDE LYASE
3vhk,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 2
4bc5,XYLULOSE KINASE
4jal,TRNA (CYTIDINE(34)-2'-O)-METHYLTRANSFERASE
4p58,CATECHOL O-METHYLTRANSFERASE
6n5x,"SORTING NEXIN-5,CATION-INDEPENDENT MANNOSE-6-PHOSPHATE"
6p87,UDP-3-O-(3-HYDROXYMYRISTOYL)GLUCOSAMINE N-ACYLTRANSFERASE
6pgb,WD REPEAT-CONTAINING PROTEIN 5
6qe0,RIBOSOMAL RNA LARGE SUBUNIT METHYLTRANSFERASE J
2bo4,MANNOSYLGLYCERATE SYNTHASE
3lgs,5'-METHYLTHIOADENOSINE NUCLEOSIDASE
4io4,AVGLUR1 LIGAND BINDING DOMAIN
4ocq,N-ACETYLHEXOSAMINE 1-PHOSPHATE KINASE
5ulp,MRNA CAP 0-1 NS5-TYPE METHYLTRANSFERASE
6eq1,PERIPLASMIC ALPHA-GALACTOSIDE-BINDING PROTEIN
1f4f,THYMIDYLATE SYNTHASE
2a5c,AVIDIN
